STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,ACCOUNTING_ENTRY,,TRANSACTION,,INSTR_ASSET,,EXPENDITURE,,UNIT_MEASURE,,VALUATION,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,COUNTERPART_AREA,,CONSOLIDATION,,REF_YEAR_PRICE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,BGR,,S13,,_Z,,D,,OTE,,_Z,,GF07,,XDC,,S,,V,,N,,T1100,,2019,,2845.47,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,BGR,,S13,,_Z,,D,,OTE,,_Z,,GF04,,XDC,,S,,V,,N,,T1100,,2019,,3970.04,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,BGR,,S13,,_Z,,D,,OTE,,_Z,,GF10,,XDC,,S,,V,,N,,T1100,,2019,,7047.74,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,HRV,,S13,,_Z,,D,,OTE,,_Z,,GF04,,XDC,,S,,V,,N,,T1100,,2019,,3877.16,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,HRV,,S13,,_Z,,D,,OTE,,_Z,,_T,,XDC,,S,,V,,N,,T1100,,2019,,25454.01,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,HRV,,S13,,_Z,,D,,OTE,,_Z,,GF09,,XDC,,S,,V,,N,,T1100,,2019,,2848.06,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,HRV,,S13,,_Z,,D,,OTE,,_Z,,GF10,,XDC,,S,,V,,N,,T1100,,2019,,7572.55,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,HRV,,S13,,_Z,,D,,OTE,,_Z,,GF07,,XDC,,S,,V,,N,,T1100,,2019,,3987.45,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,ESP,,S13,,_Z,,D,,OTE,,_Z,,_T,,XDC,,S,,V,,N,,T1100,,2019,,526769,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,ESP,,S13,,_Z,,D,,OTE,,_Z,,GF09,,XDC,,S,,V,,N,,T1100,,2019,,50052,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,ESP,,S13,,_Z,,D,,OTE,,_Z,,GF07,,XDC,,S,,V,,N,,T1100,,2019,,75917,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,ESP,,S13,,_Z,,D,,OTE,,_Z,,GF04,,XDC,,S,,V,,N,,T1100,,2019,,52761,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,ESP,,S13,,_Z,,D,,OTE,,_Z,,GF10,,XDC,,S,,V,,N,,T1100,,2019,,216733,,_Z,,P,,,,F,,2,,A,,6,,EUR,
